uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,population,urban,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
299,50900000607,Little Rock Central High School,509000,Little Rock School District,10/12/2021,2021-2022,2021,11:27 AM,Tuesday,"Little Rock, Arkansas",Arkansas,"202,591",N,public,2430,0,0,0,unclear,,,,,,,,,,,,,785,1254,155,201,18,0,17,0,,,34.736827,-92.298954,167.63,9,12,1188,Pulaski County,5,5119,12
298,1.71E+11,Wendell Phillips Academy High School,1709930,City Of Chicago Sd 299,10/12/2021,2021-2022,2021,3:15 PM,Tuesday,Chicago,Illinois,"2,746,388",N,public,599,0,2,2,indiscriminate,,,,,,,,,,,,,1,582,9,0,1,0,6,0,,,41.8244,-87.6199,47,9,12,576,Cook County,17,17031,11
300,1.71E+11,James McDade Classical School,1709930,City Of Chicago Sd 299,10/13/2021,2021-2022,2021,8:38 AM,Wednesday,Chicago,Illinois,"2,746,388",N,public,176,0,0,0,targeted,,,,,,,,,,,,,2,162,1,4,0,0,7,0,,,41.7344,-87.6188,10,KG,6,47,Cook County,17,17031,11
301,734676,Cathedral School,,,10/26/2021,2021-2022,2021,9:20 AM,Tuesday,"Natchez, Mississippi",Mississippi,"14,520",N,private,665,0,0,0,unclear,,,,,,,,,,,,,499,82,9,2,0,0,4,0,,,31.562163,-91.394805,52.5,PK,12,,Adams County,28,28001,33
306,3.62E+11,Poughkeepsie High School,3623760,Poughkeepsie City School District,11/15/2021,2021-2022,2021,3:15 PM,Monday,"Poughkeepsie, New York",New York,"31,577",Y,public,1153,0,0,0,targeted,13,m,,student,,,,,,,,,72,612,413,7,3,6,40,0,.38-caliber handgun,,41.6948,-73.9138,102.83,9,12,865,Dutchess County,36,36027,13
307,3.60E+11,P.S. 44,3600090,New York City Geographic District #12,11/16/2021,2021-2022,2021,2:15 PM,Tuesday,The Bronx,New York,"1,472,654",Y,public,263,0,0,0,unclear,45,m,,,,,,,,,,,4,83,174,0,1,1,0,0,handgun,,40.8425,-73.891,25,PK,5,258,Bronx County,36,36005,11
302,80234000064,Hinkley High School,802340,Aurora Joint District NO. 28 Of The Counties Of Adams And Arapahoe,11/19/2021,2021-2022,2021,12:00 PM,Friday,Aurora,Colorado,#FIELD!,N,public,2091,0,3,3,targeted,16,,,student,,,,,,,,,117,290,1513,81,18,25,47,1,,,39.7349,-104.8086,107.93,9,12,1726,Arapahoe County,8,8005,11
308,1.74E+11,Thornton Township High School,1738970,Thornton Twp Hsd 205,11/24/2021,2021-2022,2021,3:00 PM,Wednesday,Harvey,Illinois,#FIELD!,#FIELD!,public,1569,0,0,0,targeted,,,,,,,,,,,,,3,1126,406,24,4,1,5,0,,,41.61606,-87.643734,116,9,12,992,Cook County,17,17031,21
303,40633001882,Cesar Chavez High School,406330,Phoenix Union High School District (4286),11/29/2021,2021-2022,2021,3:00 PM,Monday,"Laveen, Phoenix",Arizona,#FIELD!,#FIELD!,public,2590,0,1,1,targeted,15,m,,student,,,,,,,,,115,396,1816,53,129,8,73,0,,,33.3757,-112.1463,123.4,9,12,1605,Maricopa County,4,4013,11
304,2.63E+11,Oxford High School,2627240,Oxford Community Schools,11/30/2021,2021-2022,2021,12:50 PM,Tuesday,Oxford,Michigan,"151,584",Y,public,1872,4,7,11,indiscriminate,15,m,w,student,0,,,,,,,,1549,53,186,30,1,5,48,0,9mm handgun,parent,42.838243,-83.260782,81.8,9,12,451,Oakland County,26,26125,21
